database,@id,@score,authors,doi,ee,key,number,pages,title,type,url,venue,volume,year
DBLP,495464,3,"Angeliki V. Kordali, Panayotis G. Cottis",10.1007/S11277-015-2955-4,https://doi.org/10.1007/s11277-015-2955-4,journals/wpc/KordaliC16,2,751-769,A Reinforcement-Learning Based Cognitive Scheme for Opportunistic Spectrum Access.,Journal Articles,https://dblp.org/rec/journals/wpc/KordaliC16,Wireless Personal Communications,86,2016
DBLP,539763,3,"Evangelos Tripolitakis, Georgios Chalkiadakis",10.1007/978-3-319-59294-7_14,https://doi.org/10.1007/978-3-319-59294-7_14,conf/eumas/TripolitakisC16,,157-171,"Probabilistic Topic Modeling, Reinforcement Learning, and Crowdsourcing for Personalized Recommendations.",Conference and Workshop Papers,https://dblp.org/rec/conf/eumas/TripolitakisC16,EUMAS/AT,,2016
DBLP,610956,3,"Bjorn Tegelund, Heesuk Son, Dongman Lee",10.1109/PERCOMW.2016.7457110,https://doi.org/10.1109/PERCOMW.2016.7457110,conf/percom/TegelundSL16,,1-6,A task-oriented service personalization scheme for smart environments using reinforcement learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/percom/TegelundSL16,PerCom Workshops,,2016
DBLP,1050140,3,"Xinxi Wang, Yi Wang 0006, David Hsu, Ye Wang",10.1145/2623372,http://doi.acm.org/10.1145/2623372,journals/tomccap/WangWHW14,1,7:1-7:22,Exploration in Interactive Personalized Music Recommendation - A Reinforcement Learning Approach.,Journal Articles,https://dblp.org/rec/journals/tomccap/WangWHW14,TOMCCAP,11,2014
DBLP,1055734,3,"Milos Rovcanin, Eli De Poorter, Ingrid Moerman, Piet Demeester",10.1007/S11277-014-1684-4,https://doi.org/10.1007/s11277-014-1684-4,journals/wpc/RovcaninPMD14,2,169-191,Coping with Network Dynamics Using Reinforcement Learning Based Network Optimization in Wireless Sensor Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/RovcaninPMD14,Wireless Personal Communications,76,2014
DBLP,1083175,3,"Stefano Ferretti, Silvia Mirri, Catia Prandi, Paola Salomoni",10.1109/COMPSACW.2014.45,https://doi.org/10.1109/COMPSACW.2014.45,conf/compsac/FerrettiMPS14,,252-257,Exploiting Reinforcement Learning to Profile Users and Personalize Web Pages.,Conference and Workshop Papers,https://dblp.org/rec/conf/compsac/FerrettiMPS14,COMPSAC Workshops,,2014
DBLP,1224054,3,,,http://arxiv.org/abs/1406.3922,journals/corr/Soliman14,,,Personalized Medical Treatments Using Novel Reinforcement Learning Algorithms.,Withdrawn Items,https://dblp.org/rec/journals/corr/Soliman14,CoRR,abs/1406.3922,2014
DBLP,1323598,3,"Behrouz Shahgholi Ghahfarokhi, Naser Movahhedinia",10.1007/S11276-013-0572-2,https://doi.org/10.1007/s11276-013-0572-2,journals/winet/GhahfarokhiM13,8,1807-1828,A personalized QoE-aware handover decision based on distributed reinforcement learning.,Journal Articles,https://dblp.org/rec/journals/winet/GhahfarokhiM13,Wireless Networks,19,2013
DBLP,1323952,3,"Mohammad Fathi, Vafa Maihami, Parham Moradi",10.1007/S11277-013-1028-9,https://doi.org/10.1007/s11277-013-1028-9,journals/wpc/FathiMM13,1,535-547,"Reinforcement Learning for Multiple Access Control in Wireless Sensor Networks - Review, Model, and Open Issues.",Journal Articles,https://dblp.org/rec/journals/wpc/FathiMM13,Wireless Personal Communications,72,2013
DBLP,1324406,3,"Yinglei Teng, F. Richard Yu, Ke Han, Yifei Wei, Yong Zhang",10.1007/S11277-012-0611-9,https://doi.org/10.1007/s11277-012-0611-9,journals/wpc/TengYHWZ13,2,771-791,Reinforcement-Learning-Based Double Auction Design for Dynamic Spectrum Access in Cognitive Radio Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/TengYHWZ13,Wireless Personal Communications,69,2013
DBLP,1362777,3,"Elena Daskalaki, Peter Diem, Stavroula G. Mougiakakou",10.1109/EMBC.2013.6610293,https://doi.org/10.1109/EMBC.2013.6610293,conf/embc/DaskalakiDM13,,3487-3490,Personalized tuning of a reinforcement learning control algorithm for glucose regulation.,Conference and Workshop Papers,https://dblp.org/rec/conf/embc/DaskalakiDM13,EMBC,,2013
DBLP,1396475,3,"Yabo Ni, Miao Zheng, Jiajun Bu, Chun Chen, Dazhou Wang",10.1109/ICME.2013.6607456,https://doi.org/10.1109/ICME.2013.6607456,conf/icmcs/NiZBCW13,,1-6,Personalized automatic image annotation based on reinforcement learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/icmcs/NiZBCW13,ICME,,2013
DBLP,1478561,3,"Xinxi Wang, Yi Wang 0006, David Hsu, Ye Wang",,http://arxiv.org/abs/1311.6355,journals/corr/WangWHW13,,,Exploration in Interactive Personalized Music Recommendation - A Reinforcement Learning Approach.,Informal Publications,https://dblp.org/rec/journals/corr/WangWHW13,CoRR,abs/1311.6355,2013
DBLP,1827810,3,"Xianfu Chen, Zhifeng Zhao, Honggang Zhang, Tao Chen",10.1007/S11277-010-0008-6,https://doi.org/10.1007/s11277-010-0008-6,journals/wpc/ChenZZC11,1,89-104,Reinforcement Learning Enhanced Iterative Power Allocation in Stochastic Cognitive Wireless Mesh Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/ChenZZC11,Wireless Personal Communications,57,2011
DBLP,1828048,3,"Mengfei Yang, David Grace",10.1007/S11277-010-0007-7,https://doi.org/10.1007/s11277-010-0007-7,journals/wpc/YangG11,1,73-87,Cognitive Radio with Reinforcement Learning Applied to Multicast Downlink Transmission with Power Adjustment.,Journal Articles,https://dblp.org/rec/journals/wpc/YangG11,Wireless Personal Communications,57,2011
DBLP,1870750,3,"Ankit Malpani, Balaraman Ravindran, Hema Murthy",,http://aaai.org/ocs/index.php/FLAIRS/FLAIRS11/paper/view/2597,conf/flairs/MalpaniRM11,,,Personalized Intelligent Tutoring System Using Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/flairs/MalpaniRM11,FLAIRS Conference,,2011
DBLP,2336836,3,"Hitoshi Iima, Yasuaki Kuroe",10.1007/978-3-642-10684-2_19,https://doi.org/10.1007/978-3-642-10684-2_19,conf/iconip/IimaK09,,169-178,Swarm Reinforcement Learning Algorithm Based on Particle Swarm Optimization Whose Personal Bests Have Lifespans.,Conference and Workshop Papers,https://dblp.org/rec/conf/iconip/IimaK09,ICONIP,,2009
DBLP,3420195,3,"Byoung-Tak Zhang, Young-Woo Seo",10.1080/088395101750363993,https://doi.org/10.1080/088395101750363993,journals/aai/ZhangS01,6,665-685,Personalized Web-Document Filtering Using Reinforcement Learning.,Journal Articles,https://dblp.org/rec/journals/aai/ZhangS01,Applied Artificial Intelligence,15,2001
DBLP,3420196,3,"Byoung-Tak Zhang, Young-Woo Seo",,,journals/aai/ZhangS01a,7,665-685,Personalized Web-Document Filtering Using Reinforcement Learning.,Journal Articles,https://dblp.org/rec/journals/aai/ZhangS01a,Applied Artificial Intelligence,15,2001
DBLP,3558396,3,"Young-Woo Seo, Byoung-Tak Zhang",10.1145/325737.325859,http://doi.acm.org/10.1145/325737.325859,conf/iui/SeoZ00,,248-251,A reinforcement learning agent for personalized information filtering.,Conference and Workshop Papers,https://dblp.org/rec/conf/iui/SeoZ00,IUI,,2000
