database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,2487203,Georgios  Georgiadis and Marina  Papatriantafilou,,,,A Greedy Algorithm for the Unforecasted Energy Dispatch Problemwith Storage in Smart Grids,273--274,,2,"online scheduling, resource allocation, smart grid",10.1145/2487166.2487203,,,,,,,2013,,Proceedings of the Fourth International Conference on Future Energy Systems,e-Energy '13,,978-1-4503-2052-8,"Berkeley, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2422490,Nicole  Megow and Julian  Mestre,,,,Instance-sensitive Robustness Guarantees for Sequencing with Unknown Packing and Covering Constraints,495--504,,10,"instance-sensitive worst-case guarantee, knapsack, robustness factor, sequencing, universal solution",10.1145/2422436.2422490,,,,,,,2013,,Proceedings of the 4th Conference on Innovations in Theoretical Computer Science,ITCS '13,,978-1-4503-1859-4,"Berkeley, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,99236,Daniel E. Lane and Raymond  Cote and Jackson  Shaw,,,,A System for Scheduling Student Computer Consultants,205--224,,20,,10.1145/99186.99236,,,,,,,1990,,Proceedings of the 18th Annual ACM SIGUCCS Conference on User Services,SIGUCCS '90,,0-89791-406-6,"Cincinnati, Ohio, USA",ACM,"New York, NY, USA"
ACM-DL,article,2555364,Laura  Vadillo and Miguel A. Valero and Gema  Gil,,,,Enhancement of a Body Area Network to Support Smart Health Monitoring at the Digital Home,213--216,,4,"context aware system, multiagent home platform, smart health",10.4108/icst.bodynets.2013.253578,,,,,,,2013,,Proceedings of the 8th International Conference on Body Area Networks,BodyNets '13,,978-1-936968-89-3,"Boston, Massachusetts","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
ACM-DL,article,809693,Lawrence  Bodin,,,,Solving Large Vehicle Routing and Scheduling Problems in Small Core,27--37,,11,,10.1145/800173.809693,,,,,,,1983,,Proceedings of the 1983 Annual Conference on Computers : Extending the Human Resource,ACM '83,,0-89791-120-2,,ACM,"New York, NY, USA"
ACM-DL,article,2485132,Chris  HolmesParker and Adrian  Agogino and Kagan  Tumer,,,,Exploiting Structure and Utilizing Agent-centric Rewards to Promote Coordination in Large Multiagent Systems,1181--1182,,2,"factored MDPs, reward shaping, scalability",,,,,,,,2013,,Proceedings of the 2013 International Conference on Autonomous Agents and Multi-agent Systems,AAMAS '13,,978-1-4503-1993-5,"St. Paul, MN, USA",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,266692,William J. Bolosky and Robert P. Fitzgerald and John R. Douceur,,,,Distributed Schedule Management in the Tiger Video Fileserver,212--223,,12,,10.1145/268998.266692,,,,,,,1997,,Proceedings of the Sixteenth ACM Symposium on Operating Systems Principles,SOSP '97,,0-89791-916-5,"Saint Malo, France",ACM,"New York, NY, USA"
ACM-DL,article,266692,William J. Bolosky and Robert P. Fitzgerald and John R. Douceur,,,,Distributed Schedule Management in the Tiger Video Fileserver,212--223,,12,,10.1145/269005.266692,SIGOPS Oper. Syst. Rev.,Dec. 1997,31,5,,October,1997,0163-5980,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,2002942,Yun  Chi and Hyun Jin Moon and Hakan  Hacig&#252;m&#252;&#351;,,,,iCBS: Incremental Cost-based Scheduling Under Piecewise Linear SLAs,563--574,,12,,10.14778/2002938.2002942,Proc. VLDB Endow.,June 2011,4,9,,June,2011,2150-8097,,,,,,VLDB Endowment,
ACM-DL,article,2617516,Daniel  Urieli and Peter  Stone,,,,TacTex'13: A Champion Adaptive Power Trading Agent,1447--1448,,2,"energy trading, machine learning, smart-grid",,,,,,,,2014,,Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems,AAMAS '14,,978-1-4503-2738-1,"Paris, France",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2815826,Mitsuo  Kawato,,,,Visualizing and Manipulating Brain Dynamics,1--1,,1,,10.1145/2802083.2815826,,,,,,,2015,,Proceedings of the 2015 ACM International Symposium on Wearable Computers,ISWC '15,,978-1-4503-3578-2,"Osaka, Japan",ACM,"New York, NY, USA"
ACM-DL,article,2815826,Mitsuo  Kawato,,,,Visualizing and Manipulating Brain Dynamics,1--1,,1,,10.1145/2750858.2815826,,,,,,,2015,,Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '15,,978-1-4503-3574-4,"Osaka, Japan",ACM,"New York, NY, USA"
ACM-DL,article,1018920,Ron  Sun and Dehu  Qi,,,,Learning Cooperation Through Bidding,1290--1291,,2,,10.1109/AAMAS.2004.158,,,,,,,2004,,Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 3,AAMAS '04,,1-58113-864-4,"New York, New York",IEEE Computer Society,"Washington, DC, USA"
ACM-DL,article,1186820,Randeep  Bhatia and Julia  Chuzhoy and Ari  Freund and Joseph (Seffi)  Naor,,,,Algorithmic Aspects of Bandwidth Trading,10:1--10:19,10,19,"Approximation algorithms for NP-hard problems, dynamic storage allocation, general caching, resource allocation, scheduling",10.1145/1186810.1186820,ACM Trans. Algorithms,February 2007,3,1,,February,2007,1549-6325,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,811583,"Carter L. Franklin,II",,,,Evaluating Job Shop Simulation Results,289--297,,9,,10.1145/800293.811583,,,,,,,1973,,Proceedings of the 6th Conference on Winter Simulation,WSC '73,,,"San Francisco, CA",ACM,"New York, NY, USA"
ACM-DL,article,2492842,Fahimeh  Jafari and Axel  Jantsch and Zhonghai  Lu,,,,Worst-case Delay Analysis of Variable Bit-rate Flows in Network-on-chip with Aggregate Scheduling,538--541,,4,,,,,,,,,2012,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '12,,978-3-9810801-8-6,"Dresden, Germany",EDA Consortium,"San Jose, CA, USA"
ACM-DL,article,262398,Richard  Muntz and Jose Renato Santos and Steve  Berson,,,,RIO: A Real-time Multimedia Object Server,29--35,,7,,10.1145/262391.262398,SIGMETRICS Perform. Eval. Rev.,Sept. 1997,25,2,,September,1997,0163-5999,,,,,,ACM,"New York, NY, USA"
